peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_nu
HoiH23_PlH23_004852	0	0	1	1	1	0	2	2	1	0	3	1	0
HoiH23_PlH23_004820	11	8	18	4	8	6	21	11	21	15	21	13	8
HoiH23_PlH23_004822	2	3	15	3	4	1	19	8	12	6	6	3	2
HoiH23_PlH23_004823	0	0	0	0	0	0	1	0	0	1	0	0	0
HoiH23_PlH23_004825	0	0	2	0	1	1	6	2	3	0	0	0	1
HoiH23_PlH23_004826	1	1	2	2	3	0	14	3	2	5	5	2	0
HoiH23_PlH23_004829	2	6	7	5	3	1	9	11	11	6	14	3	2
HoiH23_PlH23_004830	1	0	2	2	2	0	3	0	1	2	3	3	2
HoiH23_orphan_50	0	0	0	0	0	0	0	0	0	2	0	0	0
HoiH23_PlH23_004837	0	1	4	3	3	1	2	5	1	1	7	0	3
HoiH23_orphan_51	0	0	0	0	9	3	0	0	0	0	0	0	0
HoiH23_orphan_52	0	0	0	0	5	2	0	0	0	0	0	0	0
HoiH23_PlH23_004841	3	3	14	5	6	1	15	8	9	5	14	3	5
HoiH23_PlH23_004844	5	8	31	12	14	2	21	10	22	11	12	11	15
HoiH23_PlH23_004845	0	0	9	10	0	0	18	1	34	0	8	5	0
HoiH23_PlH23_004847	0	0	5	0	0	0	2	1	0	4	12	0	0
HoiH23_PlH23_004851	0	0	0	1	0	0	3	1	1	2	1	1	1
HoiH23_PlH23_004853	0	5	8	2	5	2	10	3	11	5	10	4	3
HoiH23_orphan_54	0	0	1	0	0	0	0	1	0	0	0	0	0
HoiH23_PlH23_011633	0	12	51	13	21	6	25	12	26	6	50	15	4
HoiH23_PlH23_011527	1	0	0	0	0	0	0	0	0	0	0	0	1
HoiH23_PlH23_011631	0	0	0	0	0	3	0	0	0	0	0	9	0
HoiH23_PlH23_011632	0	0	0	0	0	0	0	0	0	0	0	1	0
HoiH23_PlH23_006901	0	1	0	1	4	0	1	3	2	2	0	0	2
HoiH23_PlH23_006903	0	0	6	1	0	0	19	4	0	3	2	1	0
HoiH23_PlH23_006904	6	8	21	11	1	4	8	5	3	5	13	5	3
HoiH23_PlH23_006905	0	3	26	16	5	0	13	8	8	1	9	8	0
HoiH23_orphan_57	0	0	0	0	2	4	0	0	1	3	2	0	0
HoiH23_PlH23_006906	3	1	1	1	13	21	4	6	5	16	3	0	2
HoiH23_PlH23_006907	1	0	0	0	0	0	1	0	1	0	0	0	0
HoiH23_PlH23_006908	0	0	0	0	3	8	0	0	10	4	11	0	0
HoiH23_PlH23_006909	0	1	0	0	0	0	4	3	0	3	1	1	2
HoiH23_orphan_58	0	0	1	0	0	2	3	0	0	1	0	0	0
HoiH23_PlH23_006914	1	2	1	0	0	8	8	2	0	0	0	0	0
HoiH23_PlH23_006915	0	0	0	0	0	0	0	0	0	2	0	0	0
HoiH23_PlH23_006922	0	0	3	4	1	0	2	0	0	2	1	1	1
HoiH23_PlH23_006923	4	5	6	2	5	1	4	7	11	3	14	3	4
HoiH23_PlH23_006926	0	1	27	0	2	2	0	12	10	0	8	2	13
HoiH23_PlH23_006928	78	155	279	160	494	189	506	367	524	367	378	148	133
HoiH23_orphan_60	0	0	0	0	0	0	1	0	0	0	0	0	0
HoiH23_orphan_61	2	1	2	1	1	2	1	4	2	0	0	0	0
HoiH23_orphan_62	0	0	2	0	6	8	0	49	6	7	1	0	4
HoiH23_orphan_64	0	0	0	0	2	1	0	0	1	0	4	0	0
HoiH23_PlH23_006910	0	0	0	1	0	0	0	0	1	0	0	0	0
HoiH23_PlH23_006913	2	4	36	8	24	10	20	9	12	2	22	6	10
HoiH23_PlH23_006916	0	1	0	0	0	0	0	0	1	0	0	0	0
HoiH23_PlH23_006917	0	0	4	0	0	0	1	0	0	0	0	0	0
HoiH23_PlH23_006918	0	0	0	0	0	0	0	0	0	1	0	0	0
HoiH23_PlH23_006919	1	5	0	1	2	1	1	2	3	2	3	5	2
HoiH23_PlH23_006920	0	0	1	0	0	1	2	0	2	0	1	0	0
HoiH23_PlH23_006921	0	0	3	1	0	0	8	3	5	0	5	4	1
HoiH23_orphan_67	0	0	2	0	0	0	5	0	3	0	2	0	1
HoiH23_PlH23_006927	1	2	0	0	0	0	19	2	0	2	2	1	7
HoiH23_orphan_69	0	0	0	0	1	0	0	0	0	0	0	0	0
HoiH23_PlH23_011579	0	0	0	0	0	0	4	0	1	0	0	0	0
HoiH23_orphan_70	1	0	0	0	0	0	0	1	0	0	0	0	0
HoiH23_PlH23_011328	1	2	5	0	1	1	6	3	1	1	3	0	0
HoiH23_PlH23_011935	0	0	9	0	0	7	2	0	0	0	17	0	0
HoiH23_PlH23_011837	0	0	0	0	0	0	0	1	0	0	0	0	0
HoiH23_PlH23_011482	0	0	1	0	0	0	2	0	0	0	0	0	1
HoiH23_PlH23_011702	0	0	96	27	0	0	3	0	0	0	1	0	3
HoiH23_orphan_73	0	3	4	1	2	1	1	1	2	2	0	1	1
HoiH23_PlH23_011584	7	7	17	3	16	8	18	7	26	8	14	6	3
HoiH23_PlH23_005169	0	0	0	0	0	0	1	11	0	0	7	0	30
HoiH23_PlH23_005172	0	3	7	5	3	0	9	1	11	2	7	5	4
HoiH23_PlH23_005174	1	1	1	0	0	0	1	0	1	0	2	1	1
HoiH23_PlH23_005176	0	1	0	0	0	0	2	5	3	2	2	0	0
HoiH23_PlH23_005177	2	2	2	6	0	2	4	2	5	2	1	3	3
HoiH23_PlH23_005178	2	2	6	2	2	0	0	10	3	2	5	12	0
HoiH23_PlH23_005179	1	5	3	0	4	0	2	6	4	1	2	0	0
HoiH23_PlH23_005181	1	3	9	2	2	4	4	5	10	6	2	5	1
HoiH23_orphan_74	0	0	0	1	1	0	1	0	2	0	0	0	0
HoiH23_PlH23_005186	0	2	7	6	3	1	4	1	9	2	3	1	0
HoiH23_PlH23_005187	0	2	1	4	5	6	9	9	13	12	12	3	5
HoiH23_orphan_75	0	8	0	0	0	0	2	0	0	1	1	0	0
HoiH23_PlH23_005191	0	0	1	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_005192	0	0	0	0	0	0	0	0	0	0	1	0	0
HoiH23_PlH23_005193	1	0	8	3	6	3	8	6	13	8	18	4	3
HoiH23_PlH23_005170	0	0	2	0	0	0	0	2	10	0	4	0	2
HoiH23_PlH23_005171	1	3	8	1	2	1	7	3	2	4	5	1	1
HoiH23_PlH23_005175	2	1	0	1	0	1	8	3	5	1	5	0	2
HoiH23_orphan_76	0	1	0	0	0	0	0	1	0	0	0	0	0
HoiH23_orphan_77	0	0	0	0	0	0	0	0	0	1	1	0	0
HoiH23_PlH23_005180	0	1	9	2	2	2	3	1	5	4	7	4	0
HoiH23_PlH23_005182	0	1	8	2	3	2	6	3	0	1	4	0	0
HoiH23_PlH23_005185	0	0	0	0	0	0	0	0	52	0	0	0	0
HoiH23_PlH23_005188	0	0	0	1	1	1	0	0	3	2	2	1	0
HoiH23_PlH23_005189	0	0	1	0	0	0	1	2	0	1	1	0	0
HoiH23_PlH23_005190	0	4	3	0	1	0	5	2	3	3	5	1	0
HoiH23_PlH23_011648	0	0	0	0	0	0	1	146	0	0	0	0	0
HoiH23_PlH23_011753	0	1	0	0	0	0	0	0	0	0	2	0	0
HoiH23_PlH23_011754	0	0	0	0	0	0	0	0	0	0	2	0	0
HoiH23_PlH23_012007	0	0	1	0	0	0	0	0	0	0	1	0	0
HoiH23_orphan_79	1	5	8	0	0	0	19	0	1	4	10	2	1
HoiH23_PlH23_011569	0	0	0	3	0	1	0	1	1	0	2	0	0
HoiH23_orphan_80	0	0	1	0	1	0	0	1	0	1	2	0	1
HoiH23_PlH23_011383	3	5	22	7	8	11	48	34	25	7	8	7	7
HoiH23_PlH23_011384	2	0	3	0	4	0	1	0	5	1	10	1	1
HoiH23_PlH23_003075	1	8	10	7	12	1	11	6	10	3	11	3	2
HoiH23_PlH23_003076	0	0	0	0	0	0	1	0	1	0	0	0	0
HoiH23_PlH23_003078	0	6	6	6	9	4	10	8	17	11	16	3	3
HoiH23_PlH23_003080	2	3	19	4	4	4	11	8	5	3	9	6	1
HoiH23_PlH23_003081	4	0	17	3	4	0	11	6	10	4	10	3	5
HoiH23_PlH23_003084	1	5	8	5	11	2	10	7	14	3	4	8	6
HoiH23_PlH23_003086	60	111	143	70	110	71	270	120	261	147	170	88	83
HoiH23_PlH23_003087	17	36	45	24	19	12	52	38	46	47	75	27	39
HoiH23_PlH23_003089	9	10	22	7	13	7	15	13	23	14	15	7	8
HoiH23_orphan_83	0	1	0	0	0	0	0	0	1	1	0	0	0
HoiH23_PlH23_003091	59	97	184	61	168	99	213	94	248	169	177	74	44
HoiH23_PlH23_003093	18	20	64	21	36	37	78	40	69	55	51	16	39
HoiH23_PlH23_003095	28	33	74	13	72	41	57	34	42	39	91	21	24
HoiH23_orphan_85	1	0	2	0	1	0	0	0	0	0	3	0	0
HoiH23_PlH23_003098	2	2	4	4	6	0	2	2	3	2	5	3	1
HoiH23_orphan_86	1	0	1	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_003101	65	126	198	93	142	60	280	136	252	205	184	93	84
HoiH23_PlH23_003103	0	1	6	6	1	1	4	11	13	15	10	1	4
HoiH23_orphan_87	2	4	1	0	1	1	7	4	2	3	3	1	1
HoiH23_PlH23_003105	0	4	0	0	0	0	2	0	0	2	1	0	2
HoiH23_PlH23_003106	31	48	68	32	33	36	110	64	86	69	114	40	34
HoiH23_PlH23_003107	3	7	16	10	10	9	34	13	23	11	12	11	2
HoiH23_PlH23_003109	26	41	76	38	61	40	77	51	120	84	72	36	30
HoiH23_PlH23_003111	2	9	18	10	10	4	23	11	28	21	20	7	10
HoiH23_PlH23_003113	0	0	9	0	3	0	1	0	4	6	12	0	2
HoiH23_PlH23_003072	4	3	1	2	0	0	0	1	7	1	3	1	1
HoiH23_PlH23_003073	7	10	25	4	26	13	23	24	25	6	29	10	9
HoiH23_PlH23_003074	5	12	20	9	9	7	45	10	25	16	38	10	4
HoiH23_PlH23_003077	0	0	5	0	4	0	3	14	8	0	3	1	0
HoiH23_PlH23_003079	12	16	40	10	23	12	25	17	32	19	44	16	5
HoiH23_PlH23_003082	14	23	34	23	12	13	29	16	42	18	44	17	13
HoiH23_PlH23_003083	1	2	9	0	5	1	5	1	3	5	3	3	1
HoiH23_PlH23_003085	11	15	27	18	9	9	14	15	27	17	9	3	6
HoiH23_PlH23_003088	6	2	13	3	1	0	13	8	13	2	12	2	3
HoiH23_PlH23_003090	2	6	15	1	11	2	18	13	14	1	45	3	5
HoiH23_PlH23_003092	7	3	15	9	14	5	12	4	16	11	32	6	5
HoiH23_PlH23_003094	7	15	14	7	8	0	26	7	18	20	17	2	9
HoiH23_PlH23_003096	34	59	57	11	18	15	19	29	7	22	65	1	2
HoiH23_PlH23_003097	22	33	66	15	54	31	99	82	139	42	62	33	46
HoiH23_PlH23_003099	18	36	53	26	34	15	38	33	36	34	75	17	30
HoiH23_PlH23_003100	0	0	0	0	0	0	10	0	0	0	0	0	0
HoiH23_PlH23_003102	0	2	20	11	2	3	10	10	14	17	13	1	8
HoiH23_PlH23_003104	6	8	17	5	7	3	15	15	20	9	20	8	2
HoiH23_PlH23_003108	4	8	31	14	21	4	42	17	33	15	26	8	8
HoiH23_PlH23_003110	2	4	9	6	6	1	9	3	8	6	5	4	4
HoiH23_PlH23_003112	0	0	1	0	0	0	1	0	2	2	0	0	0
HoiH23_orphan_91	0	1	0	0	4	0	1	0	0	0	0	0	0
HoiH23_PlH23_011991	0	0	2	0	1	1	1	0	0	0	3	0	0
HoiH23_orphan_92	0	0	0	1	0	0	1	0	1	1	1	0	0
HoiH23_PlH23_011928	0	1	2	1	1	0	0	0	0	0	0	0	0
HoiH23_PlH23_011401	0	3	3	3	1	0	4	3	2	2	2	2	2
HoiH23_PlH23_011402	5	5	43	19	18	6	87	50	91	68	35	14	9
HoiH23_orphan_96	0	0	0	1	8	0	24	0	2	0	5	16	4
HoiH23_PlH23_011978	0	0	0	0	0	0	1	0	2	0	1	0	0
HoiH23_orphan_97	0	1	5	1	2	0	4	0	0	1	0	7	0
HoiH23_orphan_98	0	0	0	0	0	0	0	0	1	0	0	0	0
HoiH23_PlH23_004589	1	7	10	2	0	0	8	6	4	2	6	1	4
HoiH23_PlH23_004591	5	14	38	15	20	8	61	30	37	27	50	21	11
HoiH23_orphan_99	3	6	9	3	10	3	10	16	4	4	4	2	7
HoiH23_PlH23_004593	11	15	46	18	2	4	43	7	19	10	4	8	2
HoiH23_PlH23_004595	0	4	3	1	0	1	2	2	3	1	3	0	2
HoiH23_PlH23_004599	0	0	0	0	1	0	0	0	1	0	1	0	0
HoiH23_orphan_100	0	0	1	0	0	9	3	0	0	87	9	11	2
HoiH23_PlH23_004600	0	0	1	0	0	7	2	0	1	32	4	5	2
HoiH23_PlH23_004603	4	3	12	7	7	3	30	20	21	18	16	7	8
HoiH23_PlH23_004605	7	24	42	23	21	20	95	41	56	42	24	16	11
HoiH23_PlH23_004606	7	12	16	8	6	2	12	1	17	11	18	4	5
HoiH23_PlH23_004607	0	1	1	0	1	0	5	1	0	1	6	1	1
HoiH23_PlH23_004608	0	0	0	0	0	0	0	0	0	2	0	0	0
HoiH23_PlH23_004609	3	5	18	6	20	12	14	4	21	18	13	6	5
HoiH23_PlH23_004613	3	9	7	3	11	6	15	7	9	3	6	3	3
HoiH23_PlH23_004616	0	0	2	0	0	0	3	0	0	0	3	0	0
HoiH23_PlH23_004590	0	2	7	1	0	4	6	1	8	1	7	2	0
HoiH23_PlH23_004592	3	6	3	4	2	3	11	12	10	3	4	7	14
HoiH23_PlH23_004594	0	2	6	2	0	0	6	2	1	1	1	1	2
HoiH23_PlH23_004596	0	0	0	0	0	0	0	1	0	1	2	0	0
HoiH23_PlH23_004597	0	0	0	0	0	0	0	0	0	1	0	0	0
HoiH23_PlH23_004598	0	0	1	1	2	0	1	0	1	0	2	2	0
HoiH23_orphan_101	0	0	1	0	0	4	0	0	0	0	0	5	0
HoiH23_PlH23_004601	0	1	2	16	3	4	7	12	6	31	10	5	16
HoiH23_PlH23_004602	3	5	11	9	3	1	20	10	5	10	13	4	2
HoiH23_PlH23_004604	2	3	12	4	4	3	22	7	15	2	15	12	6
HoiH23_PlH23_004610	0	0	2	1	1	1	3	3	1	1	0	0	0
HoiH23_PlH23_004611	5	15	29	11	19	12	53	33	36	13	34	13	16
HoiH23_PlH23_004612	0	0	0	0	0	0	0	0	0	0	0	0	1
HoiH23_PlH23_004614	1	2	5	0	3	1	3	2	2	1	2	1	1
HoiH23_PlH23_004615	2	3	2	0	2	1	3	2	4	3	7	1	2
HoiH23_PlH23_004617	0	0	2	2	3	3	6	6	3	2	5	1	3
HoiH23_PlH23_012003	0	0	0	0	0	0	0	0	0	0	1	0	2
HoiH23_PlH23_011745	0	1	3	2	1	0	3	3	1	1	0	2	0
HoiH23_orphan_102	0	0	1	0	1	0	0	0	2	0	2	0	1
HoiH23_PlH23_011979	0	1	0	0	0	0	0	0	1	0	0	0	0
HoiH23_orphan_103	0	1	2	0	0	0	4	0	2	0	1	0	0
HoiH23_PlH23_011297	0	0	0	0	0	0	2	0	0	0	0	0	0
HoiH23_PlH23_011298	0	2	6	1	7	1	9	1	8	3	3	1	0
HoiH23_PlH23_011629	3	4	19	4	6	4	10	4	8	2	11	1	1
HoiH23_orphan_106	0	0	0	0	0	0	0	0	0	1	2	0	1
HoiH23_PlH23_005098	0	3	0	0	11	4	9	1	5	2	3	7	1
HoiH23_PlH23_005100	0	0	0	0	1	0	2	1	0	0	1	0	0
HoiH23_PlH23_005102	0	1	1	3	0	0	0	0	0	0	2	0	0
HoiH23_PlH23_005104	1	1	11	9	4	6	13	4	11	2	10	3	2
HoiH23_PlH23_005107	0	0	0	0	0	0	2	2	2	0	1	0	0
HoiH23_orphan_107	0	0	1	0	0	0	1	0	0	0	0	0	0
HoiH23_PlH23_005109	2	7	2	5	1	2	7	6	7	7	5	1	2
HoiH23_PlH23_005111	0	0	0	2	1	1	1	0	4	0	2	1	1
HoiH23_PlH23_005113	1	5	3	5	1	3	7	7	3	4	10	1	0
HoiH23_PlH23_005114	0	0	0	1	0	0	5	561	0	0	0	0	3
HoiH23_PlH23_005115	0	0	6	1	0	2	4	2	5	3	4	1	2
HoiH23_PlH23_005117	23	69	435	41	0	0	27	18	66	473	515	0	19
HoiH23_PlH23_005119	0	0	0	0	0	0	0	1	0	0	2	0	0
HoiH23_PlH23_005121	29	137	53	12	10	2	45	8	19	3	16	16	0
HoiH23_PlH23_005124	0	0	0	0	0	0	1	0	0	0	0	0	0
HoiH23_PlH23_005126	0	0	0	0	0	0	0	0	1	0	0	0	0
HoiH23_PlH23_005128	0	2	3	0	4	1	1	2	2	2	3	0	1
HoiH23_PlH23_005129	0	0	0	0	0	0	2	17	11	0	12	0	0
HoiH23_PlH23_005097	0	1	2	0	9	1	3	3	7	1	5	1	0
HoiH23_PlH23_005099	0	0	1	0	0	0	0	0	1	0	0	0	0
HoiH23_PlH23_005101	1	2	3	3	1	0	1	3	1	0	5	1	1
HoiH23_PlH23_005103	112	206	370	166	573	217	709	379	887	586	342	251	140
HoiH23_PlH23_005105	0	0	0	1	0	0	2	1	0	0	2	0	0
HoiH23_PlH23_005106	3	0	2	3	0	1	9	0	1	1	11	4	2
HoiH23_PlH23_005108	3	10	15	2	4	1	3	8	12	3	4	2	4
HoiH23_PlH23_005110	5	23	31	4	21	19	29	18	19	15	29	7	17
HoiH23_PlH23_005112	0	2	4	1	2	0	6	4	6	1	5	3	2
HoiH23_orphan_109	0	0	0	0	0	1	0	28	0	0	0	0	0
HoiH23_orphan_110	0	1	2	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_005116	2	5	7	0	1	1	4	1	5	6	7	0	3
HoiH23_PlH23_005118	8	8	22	8	15	7	6	8	19	9	15	7	1
HoiH23_PlH23_005120	0	5	6	0	9	4	0	11	6	0	44	1	20
HoiH23_PlH23_005122	2	0	9	1	3	1	4	3	2	2	2	1	0
HoiH23_PlH23_005125	0	1	4	0	2	1	2	2	1	1	4	0	4
HoiH23_PlH23_005127	0	0	1	0	0	0	2	0	0	1	3	1	0
HoiH23_PlH23_005132	2	1	1	1	1	0	8	0	3	3	3	1	2
HoiH23_orphan_111	0	0	4	1	1	0	1	0	0	0	0	5	0
HoiH23_PlH23_011965	0	6	22	3	1	5	33	7	3	4	14	13	0
HoiH23_PlH23_011908	4	4	32	2	0	0	13	0	8	0	1	0	0
HoiH23_PlH23_011861	2	0	5	1	0	0	7	2	1	1	4	0	0
HoiH23_PlH23_011970	2	7	16	1	4	0	8	3	0	3	42	5	9
HoiH23_PlH23_011640	0	4	2	0	0	1	1	1	5	1	5	6	1
HoiH23_PlH23_011899	0	0	1	0	0	0	0	0	0	0	1	0	0
HoiH23_PlH23_004522	0	3	3	2	3	0	2	1	3	5	2	1	1
HoiH23_PlH23_004524	0	0	5	3	3	3	1	22	9	9	2	0	2
HoiH23_PlH23_004526	0	4	8	1	4	2	12	8	8	6	8	5	1
HoiH23_PlH23_004527	5	2	16	7	12	9	37	21	28	11	24	8	4
HoiH23_PlH23_004528	0	1	2	1	0	2	5	4	4	0	1	0	2
HoiH23_PlH23_004529	6	8	28	19	34	12	39	18	40	20	34	10	8
HoiH23_PlH23_004531	1	4	3	1	2	1	8	1	5	2	6	2	4
HoiH23_PlH23_004533	0	0	0	0	0	0	1	0	45	14	0	0	0
HoiH23_PlH23_004535	0	2	2	2	1	0	1	0	1	0	2	1	0
HoiH23_PlH23_004536	2	0	1	2	21	5	5	0	5	7	3	0	1
HoiH23_PlH23_004540	0	0	0	1	0	0	2	1	2	1	0	0	0
HoiH23_PlH23_004545	0	0	0	0	0	0	0	0	2	0	0	0	0
HoiH23_PlH23_004546	0	0	0	0	0	0	0	0	0	0	0	0	1
HoiH23_PlH23_004550	1	2	12	7	0	1	12	4	6	7	6	4	1
HoiH23_orphan_117	0	0	0	0	0	0	0	0	1	0	1	0	0
HoiH23_PlH23_004551	4	17	25	8	7	4	21	8	25	26	15	18	7
HoiH23_orphan_118	1	0	0	0	0	0	1	0	1	0	1	0	0
HoiH23_PlH23_004552	0	2	4	1	0	0	7	2	4	3	4	0	0
HoiH23_PlH23_004553	2	4	1	2	0	0	9	0	0	0	0	0	0
HoiH23_PlH23_004554	0	1	0	0	2	0	0	1	0	0	0	0	0
HoiH23_PlH23_004555	0	0	0	0	0	0	0	0	0	1	0	0	0
HoiH23_PlH23_004556	0	0	0	0	0	0	0	4	2	1	1	0	0
HoiH23_PlH23_004558	3	4	17	7	5	1	11	11	8	7	24	5	3
HoiH23_PlH23_004560	0	0	0	1	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_004523	0	0	2	1	0	0	0	2	2	0	0	0	0
HoiH23_PlH23_004525	8	19	22	5	5	10	29	21	27	20	14	7	18
HoiH23_PlH23_004532	2	6	6	8	5	1	19	13	14	6	5	3	6
HoiH23_PlH23_004534	0	2	2	1	2	2	4	4	1	0	2	0	0
HoiH23_orphan_120	0	0	0	0	0	0	2	0	0	0	0	0	0
HoiH23_PlH23_004537	0	0	3	2	16	0	10	1	2	1	8	16	0
HoiH23_PlH23_004538	7	15	41	34	78	17	37	44	121	50	83	33	71
HoiH23_PlH23_004539	0	0	0	2	0	0	0	0	0	1	2	1	1
HoiH23_PlH23_004541	0	2	10	0	0	0	19	0	0	0	8	10	0
HoiH23_PlH23_004542	32	49	44	14	12	7	80	36	18	39	22	5	22
HoiH23_PlH23_004543	0	0	1	0	1	0	0	0	3	2	1	1	0
HoiH23_PlH23_004544	0	1	4	0	0	1	0	0	1	2	2	0	0
HoiH23_PlH23_004549	0	0	0	0	0	0	2	0	0	0	0	0	0
HoiH23_orphan_122	1	0	0	0	0	0	0	0	1	1	0	0	0
HoiH23_PlH23_004559	0	0	1	1	1	0	0	0	0	0	0	0	0
HoiH23_orphan_123	0	0	1	0	0	0	0	0	0	0	1	0	0
HoiH23_orphan_124	0	0	2	2	1	0	4	0	2	3	7	2	0
HoiH23_PlH23_011860	2	1	1	1	1	2	0	0	1	2	4	0	1
HoiH23_PlH23_011483	0	10	13	8	7	2	15	8	10	6	13	5	4
HoiH23_orphan_130	7	6	4	7	2	0	2	2	8	1	0	0	3
HoiH23_PlH23_012014	0	0	1	0	0	0	4	4	1	0	1	0	1
HoiH23_PlH23_011808	0	0	0	0	0	0	0	0	4	0	0	0	0
HoiH23_PlH23_005343	0	0	0	0	0	34	4	0	22	28	27	1	22
HoiH23_PlH23_005344	0	0	0	0	0	0	0	0	0	0	0	13	0
HoiH23_PlH23_005345	0	0	0	0	0	0	0	0	0	0	0	7	0
HoiH23_PlH23_005346	6	7	125	6	6	10	24	5	12	16	37	16	2
HoiH23_PlH23_005347	0	0	75	0	0	0	3	0	4	0	4	0	80
HoiH23_PlH23_005348	0	0	3	1	0	0	2	1	0	1	1	0	0
HoiH23_PlH23_005350	1	5	4	3	1	2	3	3	0	1	4	1	4
HoiH23_orphan_131	0	0	2	0	0	0	0	0	3	1	1	0	0
HoiH23_PlH23_005351	1	0	9	2	0	1	5	0	6	3	6	2	0
HoiH23_PlH23_005353	0	0	6	4	1	0	2	0	2	2	2	0	0
HoiH23_PlH23_005354	1	1	16	21	3	0	9	2	11	3	9	3	2
HoiH23_PlH23_005355	0	0	0	0	0	0	0	0	0	0	1	0	0
HoiH23_PlH23_005357	0	0	0	0	0	0	1	0	0	0	0	0	0
HoiH23_PlH23_005359	0	1	1	2	2	0	2	2	2	1	0	0	0
HoiH23_PlH23_005360	0	2	3	1	2	3	4	0	5	2	5	0	0
HoiH23_orphan_132	0	0	0	0	0	0	0	0	1	0	0	0	0
HoiH23_orphan_133	0	1	8	0	14	14	1	9	2	10	3	0	2
HoiH23_PlH23_005362	5	4	71	1	14	1	4	6	7	2	1	1	6
HoiH23_PlH23_005363	11	27	133	9	75	67	92	109	73	34	29	19	21
HoiH23_orphan_134	0	0	0	0	0	0	0	0	1	0	0	0	0
HoiH23_PlH23_005365	0	4	2	0	0	3	1	2	2	2	0	0	2
HoiH23_orphan_136	0	0	3	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_005349	0	0	2	2	1	0	4	3	1	0	3	1	0
HoiH23_PlH23_005356	0	0	0	1	0	1	0	1	0	0	1	0	0
HoiH23_PlH23_005358	2	2	6	3	2	1	5	3	5	3	6	2	0
HoiH23_PlH23_005361	1	3	3	2	2	1	5	2	8	3	7	2	2
HoiH23_orphan_138	0	0	0	0	2	0	1	0	0	0	0	0	1
HoiH23_orphan_139	0	0	2	0	3	0	0	0	0	0	0	0	0
HoiH23_PlH23_005364	1	2	16	4	5	4	9	6	12	1	4	3	3
HoiH23_orphan_140	0	1	3	4	0	2	4	0	5	0	0	2	0
HoiH23_PlH23_005366	0	0	2	1	3	0	0	0	0	0	0	0	0
HoiH23_PlH23_011869	0	0	3	0	1	0	0	0	0	1	0	0	0
HoiH23_orphan_142	0	0	1	0	0	0	0	0	0	0	0	0	0
HoiH23_orphan_143	0	0	0	4	1	3	5	1	4	3	3	1	0
HoiH23_orphan_144	2	3	3	1	2	0	9	4	5	3	1	2	0
HoiH23_PlH23_011737	0	0	2	0	0	0	0	1	0	0	0	0	0
HoiH23_PlH23_011894	0	3	2	0	0	1	0	0	0	0	0	0	0
HoiH23_PlH23_011548	1	6	7	3	0	2	12	7	4	1	11	4	2
HoiH23_PlH23_011951	0	0	0	0	0	0	4	0	0	0	0	0	0
HoiH23_PlH23_004854	0	0	0	0	0	0	0	0	12	0	0	4	0
HoiH23_PlH23_004855	0	0	0	0	0	0	0	0	6	0	0	0	1
HoiH23_PlH23_004856	0	0	0	0	0	0	0	0	4	0	2	0	0
HoiH23_PlH23_004857	0	0	0	0	0	0	1	0	0	0	1	0	0
HoiH23_PlH23_004860	0	0	0	0	2	0	0	0	0	0	0	1	0
HoiH23_PlH23_004862	60	95	302	33	173	53	167	189	238	91	155	105	130
HoiH23_PlH23_004863	0	0	4	0	2	3	7	7	1	1	4	0	0
HoiH23_PlH23_004865	2	5	9	3	3	3	7	3	5	7	5	3	3
HoiH23_PlH23_004868	5	7	21	5	6	3	14	11	9	11	15	7	1
HoiH23_PlH23_004870	2	1	7	2	0	1	6	4	6	0	5	1	2
HoiH23_PlH23_004872	0	0	2	0	0	3	5	2	1	0	1	4	0
HoiH23_orphan_148	0	0	0	0	0	0	1	0	0	0	0	0	0
HoiH23_PlH23_004858	0	0	4	1	1	0	6	3	7	2	5	0	1
HoiH23_PlH23_004859	0	1	8	0	0	1	21	0	13	0	8	15	2
HoiH23_PlH23_004861	10	18	35	5	13	13	22	30	19	8	13	12	13
HoiH23_PlH23_004864	2	7	9	2	9	1	9	9	5	1	8	3	2
HoiH23_PlH23_004866	1	2	8	2	6	2	19	5	8	3	4	3	1
HoiH23_PlH23_004867	5	7	12	6	18	7	15	6	16	7	8	5	7
HoiH23_PlH23_004869	1	3	6	5	0	1	5	4	6	0	0	3	4
HoiH23_PlH23_004871	0	2	0	2	0	0	3	1	0	1	1	0	0
HoiH23_PlH23_004873	0	0	31	9	12	0	1	0	2	3	4	0	9
HoiH23_PlH23_004874	0	3	17	1	1	0	17	21	19	0	20	6	7
HoiH23_orphan_150	0	0	1	0	0	1	4	0	2	0	4	2	0
HoiH23_orphan_151	0	0	1	0	0	0	1	0	0	0	0	0	0
HoiH23_PlH23_011683	0	0	5	0	0	0	0	0	1	1	0	0	0
HoiH23_PlH23_011773	0	0	2	0	1	0	3	1	3	1	1	2	0
