peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_nu
HoiH23_PlH23_000783	4	1	5	4	6	4	5	1	7	7	8	1	4
HoiH23_orphan_46	0	1	2	0	1	0	0	0	0	0	0	0	0
HoiH23_PlH23_000786	2	2	8	6	3	2	2	4	5	4	6	0	1
HoiH23_PlH23_000788	0	0	2	0	0	0	2	0	0	0	1	0	0
HoiH23_PlH23_000790	4	5	6	2	91	35	32	18	13	6	19	7	9
HoiH23_PlH23_000792	0	2	6	0	1	1	3	4	1	0	2	0	2
HoiH23_PlH23_000794	0	0	1	0	0	0	2	1	0	0	0	0	0
HoiH23_PlH23_000795	2	4	8	7	6	1	5	7	6	4	6	4	3
HoiH23_PlH23_000796	0	0	0	0	0	0	1	0	0	0	0	1	0
HoiH23_PlH23_000798	0	1	5	2	7	0	3	7	3	1	0	3	3
HoiH23_orphan_47	0	0	0	0	0	0	0	0	0	0	2	3	0
HoiH23_PlH23_004819	3	2	4	2	1	1	1	5	5	4	3	2	2
HoiH23_orphan_48	1	1	0	2	1	0	0	0	3	0	1	1	0
HoiH23_PlH23_004821	5	6	19	6	14	1	9	8	19	9	8	2	4
HoiH23_PlH23_004827	3	4	6	10	0	0	4	4	9	3	3	0	1
HoiH23_PlH23_004828	9	19	25	13	11	6	46	17	42	36	28	13	3
HoiH23_PlH23_004831	2	1	3	1	3	0	3	3	5	2	5	2	4
HoiH23_PlH23_004833	0	0	1	0	0	0	0	0	0	0	0	0	0
HoiH23_orphan_49	0	2	0	0	1	0	2	0	0	10	0	0	0
HoiH23_PlH23_004835	1	3	2	0	0	0	0	0	0	3	2	1	2
HoiH23_PlH23_004836	2	0	8	2	6	0	16	7	7	5	18	3	4
HoiH23_PlH23_004838	0	2	0	0	3	0	4	0	1	0	0	1	0
HoiH23_PlH23_004839	0	4	2	1	2	0	8	4	7	1	6	4	7
HoiH23_PlH23_004840	1	2	4	3	120399	24288	31	14	858	7	12	2	45
HoiH23_PlH23_004842	2	6	20	7	7	4	31	16	21	7	16	9	5
HoiH23_PlH23_004843	1	0	2	1	3	0	5	4	4	6	4	3	3
HoiH23_PlH23_004846	0	0	0	0	0	0	3	0	0	21	26	0	0
HoiH23_PlH23_004848	0	0	3	0	0	0	6	2	0	1	6	2	16
HoiH23_PlH23_004850	0	0	1	0	2	0	2	1	2	1	1	2	0
