lipophil_1	trans_lipophil_1_fibre	trans_lipophil_1_gland	trans_lipophil_1_epithelia	trans_lipophil_1_lipophil_2	lipophil_2	trans_lipophil_2_epithelia	trans_lipophil_2_gland	unknown_1	fibre_1	fibre_2	trans_fibre_gland	gland_1	trans_gland_epithelia_ventral	trans_gland_epithelia_dorsal	epithelia_gland_like	epithelia_ventral	epithelia_unknown	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_epsilon	peptidergic_zeta	peptidergic_zeta_like	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_nu
HoiH23_orphan_14	2	0	1	0	0	1	1	0	0	1	0	1	21	0	0	0	10	2	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_000127	181	7	24	8	6	63	51	5	34	76	18	17	473	14	8	180	346	152	333	15	13	18	14	7	12	17	60	18	9	19	15	21	15	3	5
HoiH23_PlH23_000128	19	0	2	0	0	4	5	0	3	2	7	0	41	1	0	18	20	12	26	2	1	1	2	1	1	0	3	3	0	2	0	1	1	1	4
HoiH23_PlH23_000130	53	4	9	7	1	11	18	1	6	27	9	6	142	9	0	49	85	38	86	2	3	4	2	0	2	2	7	6	5	7	2	3	2	5	1
HoiH23_PlH23_000131	250	7	32	7	11	78	68	8	57	94	34	18	603	27	16	247	401	209	496	19	25	28	11	16	20	27	69	31	20	30	30	32	20	15	9
HoiH23_orphan_15	15	0	1	1	0	4	2	2	1	10	0	2	42	1	2	15	25	14	14	1	3	0	0	2	0	0	2	0	0	0	0	0	1	2	0
HoiH23_PlH23_000133	642	8	71	26	15	205	225	34	133	266	131	37	1886	46	27	741	1288	579	1462	44	95	75	29	33	39	45	151	58	47	127	122	71	80	40	5
HoiH23_PlH23_000134	100	0	9	3	3	21	23	2	13	41	9	6	217	7	6	62	164	75	130	6	4	9	2	4	5	5	28	13	0	9	9	6	13	9	2
HoiH23_PlH23_000138	33	0	4	1	2	8	14	4	5	19	1	0	94	3	2	37	66	16	85	2	8	2	0	2	2	1	12	3	2	5	3	4	4	4	4
HoiH23_orphan_16	3	0	0	0	0	2	1	0	1	2	0	0	14	1	0	2	6	1	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
HoiH23_PlH23_000140	79	4	15	0	3	13	33	1	14	28	13	1	177	7	4	73	139	56	149	1	9	9	3	1	4	6	22	7	7	15	4	5	3	3	1
