metacell	num_cells	tot_umis	cell_size_mean	cell_size_Q1	cell_size_Q2	cell_size_Q3	log2_fc_mean	log2_fc_Q1	log2_fc_Q2	log2_fc_Q3	log2_fc_Qp95
158	58	29613	510.568965517241	419.25	479	549.25	0.489523926948596	0.181331086284909	0.305063234288343	0.492672994408422	0.938609887909183
159	34	23154	681	528.5	622.5	780.75	0.524306282926834	0.230934994484361	0.381212774549219	0.573457648469712	1.01875687705108
160	54	20305	376.018518518519	259.25	352.5	466.5	0.575479068711633	0.222475976386593	0.371764498256084	0.52591568023931	1.0242757245986
161	28	18867	673.821428571429	524	599.5	769	0.62148865750072	0.268149052991169	0.431461492825797	0.634973753444833	1.14027062608551
162	64	29182	455.96875	363	436.5	518	0.579883114390555	0.192876777980994	0.308962502551187	0.526508775788389	1.10741982236821
163	43	21236	493.860465116279	375.5	478	584	0.633148745518789	0.225788696907119	0.404262241343389	0.597645522845525	1.21182071328101
164	54	28377	525.5	391.75	495.5	663.5	0.530037460355321	0.17845326432469	0.317116655088021	0.478629549268301	0.983453412612061
165	28	10892	389	315	376.5	482.75	0.769015264024943	0.367165444754648	0.568413353836545	0.71749478645555	1.2393569298321
166	51	22771	446.490196078431	326.5	424	572.5	0.572112276779223	0.203404711043922	0.352642484683107	0.50080301216609	0.93429346585299
167	116	78386	675.741379310345	514.75	640	801	0.352156982548285	0.101806766754195	0.147149567017332	0.299075874171912	0.696985923129008
168	76	45677	601.013157894737	459.5	574.5	724.5	0.437190140637051	0.11786188717932	0.204696436853709	0.352463959184596	0.734395100789694
169	45	32092	713.155555555556	608	743	823	0.524949592943065	0.188099530146421	0.284110833966402	0.499352923860924	0.949651243336313
170	38	28300	744.736842105263	581.5	705.5	903.25	0.539402661369023	0.194788549908303	0.318664852028373	0.521052566518932	0.936455844810144
171	63	39866	632.793650793651	520.5	606	733	0.494964598417867	0.154748221663446	0.232451101005575	0.434660429677032	0.88527785499609
