lipophil_1	trans_lipophil_1_gland	trans_lipophil_1_epithelia	lipophil_2	trans_lipophil_2_epithelia	unknown_1	fibre	trans_fibre_gland	gland_1	gland_1_like	trans_gland_epithelia_ventral	trans_gland_epithelia_dorsal	epithelia_gland_like	epithelia_ventral	epithelia_unknown	trans_epithelia_dorsal_ventral	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_delta	peptidergic_epsilon	peptidergic_epsilon_like	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_theta_like	peptidergic_iota	peptidergic_iota_like	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_omicron	peptidergic_other_1	peptidergic_other_2
Hhon_orphan_20	14	2	2	3	4	7	24	0	61	0	0	0	24	104	17	8	32	4	7	11	4	1	3	1	1	4	6	2	2	4	4	0	1	3	3	1	0	0
Hhon_g00193.t1	26	4	3	9	9	10	50	0	64	1	2	1	33	114	19	5	39	2	11	11	2	0	12	2	0	5	4	5	2	5	1	1	2	3	4	1	0	2
Hhon_g00194.t1	2	0	0	4	0	0	3	0	10	0	0	0	9	10	3	1	11	0	2	1	0	2	1	0	1	0	3	0	0	1	0	0	2	1	1	0	0	1
Hhon_g00195.t1	242	19	5	50	50	76	300	21	647	15	31	10	274	886	129	74	359	21	66	53	22	21	34	8	15	21	73	22	7	66	10	14	40	38	50	17	14	17
Hhon_orphan_21	0	0	0	1	1	1	1	0	3	0	0	0	0	3	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
Hhon_g00198.t1	4	1	1	0	7	0	16	1	31	0	1	0	8	31	2	0	13	2	0	2	0	2	0	0	1	2	3	6	0	3	0	2	0	3	0	0	0	0
Hhon_g00199.t1	19	3	0	2	2	10	26	0	58	0	4	0	14	83	9	4	23	0	7	0	0	0	2	1	1	1	5	4	0	2	3	1	1	2	6	1	3	2
Hhon_g00201.t1	44	4	2	13	17	18	68	9	151	2	5	2	55	180	25	14	77	6	16	19	4	4	4	3	2	4	15	10	2	13	2	4	5	8	15	4	3	6
Hhon_g00203.t1	10	0	0	6	2	1	12	1	40	0	1	1	15	46	7	2	19	2	3	3	1	0	1	0	1	0	4	1	1	3	1	0	1	1	2	1	0	1
Hhon_g00205.t1	20	2	0	3	3	3	32	1	51	1	0	0	27	68	15	8	25	3	5	3	1	2	4	0	1	1	1	1	0	9	2	0	3	4	2	0	0	0
Hhon_g00209.t1	312	24	12	78	58	90	395	30	755	24	29	17	353	916	164	102	437	23	90	68	16	18	37	4	18	23	61	20	5	71	11	21	27	51	58	21	8	16
Hhon_g00210.t1	19	0	1	4	8	3	28	2	49	2	1	2	30	59	15	5	20	1	3	4	0	0	4	0	3	1	6	1	0	4	1	6	1	4	3	1	0	2
Hhon_orphan_22	11	0	0	2	3	3	5	1	15	0	0	0	8	29	4	4	10	0	3	0	1	0	0	1	0	0	3	2	0	0	1	0	1	1	0	1	0	0
Hhon_g00212.t1	66	6	0	11	9	16	65	5	121	4	3	1	46	131	19	15	75	4	16	16	2	4	5	1	2	2	11	5	1	11	0	2	4	5	10	1	4	1
Hhon_g00213.t1	5	0	0	4	3	4	14	0	20	0	0	0	9	17	4	3	7	0	2	4	0	0	0	0	0	1	3	0	0	0	0	0	1	1	1	0	0	0
Hhon_g00215.t1	22	2	0	1	5	8	15	1	52	0	1	0	29	38	11	3	19	1	3	10	0	1	4	0	1	2	2	1	0	5	1	0	2	2	4	0	2	0
Hhon_g00219.t1	57	7	4	9	8	14	87	6	141	4	6	2	56	176	25	25	114	8	21	20	3	2	7	2	2	2	22	8	3	17	3	12	18	6	9	4	2	3
Hhon_g00221.t1	25	2	1	8	5	6	25	2	78	1	6	1	28	80	9	6	31	2	8	6	2	0	2	3	3	3	4	2	0	4	1	2	8	2	3	0	3	1
Hhon_g00222.t1	32	3	2	9	7	14	32	2	57	0	3	0	28	65	12	10	34	4	5	3	1	5	7	1	0	2	7	3	1	6	1	0	1	3	9	3	1	2
Hhon_g00223.t1	9	0	2	0	3	3	11	1	19	0	0	0	11	12	1	3	8	0	5	3	0	3	1	0	0	0	1	1	1	2	0	0	1	3	0	3	0	0
Hhon_g00224.t1	157	10	11	37	32	42	183	23	277	8	5	7	173	357	56	53	178	7	44	25	5	14	20	6	1	10	27	12	3	35	2	8	19	20	36	2	2	6
Hhon_g00226.t1	112	6	6	24	27	29	105	6	243	4	6	10	124	303	54	26	145	6	33	16	0	6	17	2	6	2	21	6	4	27	1	6	10	12	18	3	5	6
