lipophil	trans_lipophil_1_gland	trans_lipophil_1_epithelia	unknown_2.1	unknown_2.2	fibre	trans_fibre_gland	gland_1	trans_gland_epithelia	epithelia_gland_like	epithelia_unknown_1	epithelia_unknown_2	epithelia_unknown_3	epithelia_ventral	trans_epithelia_dorsal_ventral	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_delta	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_nu	peptidergic_omicron
Tadh_TriadG52253	121	10	7	6	8	41	8	117	15	40	4	28	14	113	32	105	5	8	12	0	0	10	0	8	10	1	17	4	7	3	16	0	4
Tadh_TriadG19828	31	3	0	0	3	9	2	42	3	17	0	10	3	30	5	18	2	0	0	2	0	2	0	3	2	0	3	1	1	1	5	3	1
Tadh_TriadG52259	10	2	0	2	0	7	1	13	0	4	0	8	1	13	5	10	2	0	0	0	1	0	0	1	2	0	1	0	0	0	1	0	0
Tadh_orphan_24	4	0	0	0	0	4	1	8	0	0	0	3	3	9	1	5	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Tadh_TriadG52260	43	4	2	2	0	17	3	57	5	19	0	20	9	63	24	50	5	7	3	3	0	2	0	2	2	0	8	2	3	0	5	0	2
Tadh_TriadG52263	280	30	19	9	22	102	25	359	30	98	15	72	50	215	117	215	20	11	18	4	0	5	9	8	19	13	32	10	10	4	21	5	22
Tadh_TriadG63529	358	36	34	16	24	158	16	498	44	135	11	98	54	348	104	358	19	31	28	11	2	19	7	34	35	10	42	12	18	12	45	11	13
Tadh_TriadG52267	89	5	3	5	5	23	0	90	2	28	4	11	3	63	21	46	2	4	3	0	1	1	1	3	5	3	10	1	0	3	7	0	8
Tadh_wf_g1014	4	0	0	0	0	1	0	0	0	0	0	0	0	5	3	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Tadh_orphan_25	10	2	0	1	0	4	0	19	1	5	0	7	4	12	4	9	1	2	1	1	0	0	0	1	1	0	3	0	0	1	1	0	2
Tadh_TriadG18774	152	12	6	7	12	52	9	170	9	51	6	42	30	129	50	138	5	18	10	2	4	14	2	15	16	6	21	5	6	7	22	7	1
