lipophil	trans	unknown_1	fibre	gland	epithelia_gland_like	epithelia	peptidergic
Hhon_g00381.t1	18	9	6	11	26	8	60	14
Hhon_g00382.t1	5	2	1	7	18	9	44	16
Hhon_g00384.t1	13	3	0	2	15	4	37	11
Hhon_g00385.t1	26	20	6	23	63	26	110	52
Hhon_g00386.t1	17	7	3	16	23	9	61	20
Hhon_g00387.t1	47	23	4	26	66	23	118	61
Hhon_g00388.t1	37	19	9	29	79	30	178	90
Hhon_g00392.t1	232	134	42	198	400	173	790	354
Hhon_g00393.t1	21	23	4	23	51	21	120	57
Hhon_g00395.t1	1	0	0	0	0	0	0	1
Hhon_g00397.t1	37	21	9	37	53	29	85	45
Hhon_g00398.t1	47	33	13	52	115	68	153	81
Hhon_orphan_69	1	4	0	0	8	1	13	5
Hhon_g00401.t1	35	12	4	24	42	31	109	45
Hhon_orphan_70	10	2	2	8	15	4	19	5
Hhon_g00403.t1	2269	1281	438	2025	3522	1753	6252	3241
Hhon_g00405.t1	15	5	0	14	29	20	44	29
Hhon_g00406.t1	28	22	4	32	52	26	106	42
Hhon_g00409.t1	51	29	21	65	97	45	188	101
Hhon_g00410.t1	65	53	17	57	136	47	281	111
Hhon_g00411.t1	55	43	12	63	124	49	210	111
Hhon_g00413.t1	51	26	9	39	105	38	147	95
Hhon_g00414.t1	18	19	1	12	41	16	85	53
Hhon_g00415.t1	9	11	0	16	17	7	47	9
Hhon_g00416.t1	69	46	15	72	135	56	250	140
Hhon_orphan_71	3	3	0	2	4	2	16	4
Hhon_g00418.t1	27	30	11	42	79	37	190	76
Hhon_g00421.t1	405	268	108	371	728	351	1470	684
Hhon_g00424.t1	490	292	111	492	839	482	1636	824
Hhon_g00426.t1	1097	623	179	995	1759	735	3065	1388
Hhon_g00427.t1	39	22	9	42	75	26	114	55
Hhon_g00428.t1	476	256	89	411	755	353	1297	722
Hhon_g00429.t1	6	1	0	5	7	3	10	2
Hhon_g00430.t1	1	3	0	3	9	7	19	9
Hhon_orphan_72	5	4	1	7	19	13	20	14
Hhon_g00448.t1	307	203	68	278	543	240	1061	503
Hhon_orphan_73	102	56	14	97	163	59	327	146
Hhon_orphan_74	6	3	0	7	10	3	28	10
Hhon_g00453.t1	25	16	3	26	40	18	62	49
Hhon_g00456.t1	90	60	19	88	162	56	310	138
Hhon_g00458.t1	82	44	20	90	162	71	326	134
Hhon_g00460.t1	38	39	5	35	89	32	155	62
Hhon_g00462.t1	0	2	0	0	3	0	3	1
Hhon_g00464.t1	131	90	27	113	234	113	472	226
Hhon_g00465.t1	1775	1117	437	1535	3800	1522	7792	3282
Hhon_g00466.t1	224	130	55	206	417	152	738	365
Hhon_g00468.t1	13	6	2	17	24	5	69	34
Hhon_orphan_75	1	0	0	1	0	0	2	1
Hhon_g00470.t1	29	14	7	27	48	44	97	46
Hhon_g00472.t1	6	10	5	5	28	20	68	23
Hhon_g00474.t1	15	14	4	15	42	17	98	52
Hhon_orphan_76	0	2	1	2	3	2	1	0
Hhon_orphan_77	0	0	0	1	0	0	0	0
Hhon_g00484.t1	238	165	54	210	397	196	737	377
Hhon_g00486.t1	23	12	7	23	39	26	77	40
Hhon_g00488.t1	70	42	11	64	107	48	247	89
Hhon_orphan_78	11	16	1	12	27	8	45	16
Hhon_orphan_79	1	0	0	1	2	1	13	9
Hhon_orphan_80	16	4	1	9	17	8	49	26
Hhon_orphan_81	5	4	0	4	14	4	28	10
Hhon_g00490.t1	47	29	12	54	108	38	168	109
Hhon_g00492.t1	88	56	13	82	147	64	267	144
Hhon_g00496.t1	61	36	7	49	80	43	170	100
Hhon_g00497.t1	3	3	0	3	4	6	6	5
Hhon_g00498.t1	7	1	0	11	14	5	26	7
Hhon_g00499.t1	34	20	8	43	96	24	190	82
Hhon_g00500.t1	1	2	1	1	13	7	20	9
Hhon_g00501.t1	16	16	4	25	52	18	127	47
Hhon_g00502.t1	16	13	5	29	56	25	126	57
Hhon_g00289.t1	0	0	0	1	2	1	4	0
Hhon_g00292.t1	3	2	3	2	11	2	36	9
Hhon_g00294.t1	3	3	1	0	7	3	10	4
Hhon_g00295.t1	11	3	3	6	21	6	26	22
Hhon_orphan_82	5	4	2	10	9	4	31	13
Hhon_g00296.t1	3	1	0	3	3	2	27	8
Hhon_orphan_83	0	0	0	2	0	0	3	0
Hhon_g00298.t1	191	104	24	171	348	148	623	320
Hhon_g00300.t1	14	19	6	29	37	10	98	33
Hhon_g00303.t1	333	195	75	311	602	293	1129	593
Hhon_g00305.t1	69	51	24	103	166	52	304	138
Hhon_g00307.t1	56	43	10	56	80	51	151	93
Hhon_orphan_84	0	1	0	2	0	1	2	1
Hhon_g00310.t1	32	20	3	26	40	20	95	34
Hhon_g00312.t1	129	80	21	113	245	84	508	218
Hhon_g00314.t1	255	144	52	208	426	208	779	350
Hhon_g00316.t1	974	528	177	869	1482	801	3022	1524
Hhon_g00317.t1	9	11	2	7	17	6	52	17
Hhon_g00318.t1	17	15	3	19	40	12	75	45
Hhon_g00319.t1	97	77	16	108	201	102	354	187
Hhon_g00320.t1	133	92	26	125	228	125	427	230
Hhon_g00321.t1	85	50	19	82	180	83	361	172
Hhon_g00323.t1	19	9	4	23	29	8	50	20
Hhon_orphan_86	5	1	0	7	4	7	19	6
Hhon_g00326.t1	92	52	12	75	96	85	259	132
Hhon_g00329.t1	43	34	11	37	101	33	197	81
Hhon_g00330.t1	72	38	17	59	133	56	303	126
Hhon_g00331.t1	0	1	0	0	0	0	0	0
Hhon_g00332.t1	1920	1193	413	1808	3454	1738	7046	3434
Hhon_orphan_87	0	2	0	1	4	0	5	2
Hhon_g00339.t1	35	21	7	33	82	28	153	85
Hhon_orphan_88	0	1	0	0	0	0	0	0
