#OG_name	HoiH23.fasta	TrH2.fasta	Hhon.fasta	Tadh.fasta
OG_178	HoiH23_PlH23_006101-RA	TrH2_TrispH2_009703-RA	Hhon_g00601.t1	Tadh_wf_g2999.t1
OG_179	HoiH23_PlH23_006102-RA	TrH2_TrispH2_009704-RA	Hhon_g00602.t1	Tadh_TriadT54223
OG_180	HoiH23_PlH23_006103-RA	TrH2_TrispH2_009705-RA	Hhon_g00603.t1	Tadh_TriadT23196
OG_181	HoiH23_PlH23_006104-RA	TrH2_TrispH2_009706-RA	Hhon_g00604.t1	Tadh_TriadT54225
OG_182	HoiH23_PlH23_006105-RA	TrH2_TrispH2_009707-RA	Hhon_g00605.t1	Tadh_TriadT22294
OG_183	HoiH23_PlH23_006106-RA	TrH2_TrispH2_009708-RA	Hhon_g00606.t1	Tadh_TriadT63244
OG_184	HoiH23_PlH23_006112-RA	TrH2_TrispH2_010307-RA	Hhon_g00611.t1	Tadh_TriadT54232
OG_185	HoiH23_PlH23_006116-RA	TrH2_TrispH2_010303-RA	Hhon_g00615.t1	Tadh_TriadT54236
OG_186	HoiH23_PlH23_000883-RA	TrH2_TrispH2_007753-RA	Hhon_g00617.t1	Tadh_TriadT22195
OG_187	HoiH23_PlH23_000884-RA	TrH2_TrispH2_007754-RA	Hhon_g00618.t1	Tadh_wf_g3019.t1
OG_188	HoiH23_PlH23_000885-RA	TrH2_TrispH2_007755-RA	Hhon_g00619.t1	Tadh_TriadT5178
OG_189	HoiH23_PlH23_000892-RA	TrH2_TrispH2_007761-RA	Hhon_g00625.t1	Tadh_TriadT54246
OG_190	HoiH23_PlH23_000896-RA	TrH2_TrispH2_007765-RA	Hhon_g00629.t1	Tadh_wf_g3030.t1
OG_191	HoiH23_PlH23_000901-RA	TrH2_TrispH2_007770-RA	Hhon_g00634.t1	Tadh_TriadT54255
OG_192	HoiH23_PlH23_000902-RA	TrH2_TrispH2_007771-RA	Hhon_g00635.t1	Tadh_TriadT54256
OG_193	HoiH23_PlH23_000903-RA	TrH2_TrispH2_007773-RA	Hhon_g00637.t1	Tadh_TriadT22070
OG_194	HoiH23_PlH23_000909-RA	TrH2_TrispH2_007779-RA	Hhon_g00643.t1	Tadh_TriadT54263
OG_195	HoiH23_PlH23_000925-RA	TrH2_TrispH2_007997-RA	Hhon_g00658.t1	Tadh_TriadT54284
OG_196	HoiH23_PlH23_000929-RA	TrH2_TrispH2_008000-RA	Hhon_g00662.t1	Tadh_TriadT22704
OG_197	HoiH23_PlH23_000936-RA	TrH2_TrispH2_008007-RA	Hhon_g00668.t1	Tadh_TriadT63737
OG_198	HoiH23_PlH23_000956-RA	TrH2_TrispH2_009803-RA	Hhon_g00680.t1	Tadh_TriadT63739
OG_199	HoiH23_PlH23_000965-RA	TrH2_TrispH2_003876-RA	Hhon_g00689.t1	Tadh_wf_g3093.t1
OG_200	HoiH23_PlH23_000967-RA	TrH2_TrispH2_003878-RA	Hhon_g00691.t1	Tadh_TriadT54317
OG_201	HoiH23_PlH23_000968-RA	TrH2_TrispH2_003879-RA	Hhon_g00692.t1	Tadh_TriadT63741
OG_202	HoiH23_PlH23_005951-RA	TrH2_TrispH2_002061-RA	Hhon_g00703.t1	Tadh_TriadT59271
OG_203	HoiH23_PlH23_009790-RA	TrH2_TrispH2_002056-RA	Hhon_g00710.t1	Tadh_TriadT29258
OG_204	HoiH23_PlH23_009788-RA	TrH2_TrispH2_002054-RA	Hhon_g00712.t1	Tadh_wf_g8158.t1
OG_205	HoiH23_PlH23_010235-RA	TrH2_TrispH2_002048-RA	Hhon_g00719.t1	Tadh_TriadT64176
OG_206	HoiH23_PlH23_010233-RA	TrH2_TrispH2_002046-RA	Hhon_g00721.t1	Tadh_TriadT8347
OG_207	HoiH23_PlH23_010231-RA	TrH2_TrispH2_002044-RA	Hhon_g00723.t1	
OG_208	HoiH23_PlH23_010377-RA	TrH2_TrispH2_002037-RA	Hhon_g00731.t1	Tadh_TriadT59247
OG_209	HoiH23_PlH23_010381-RA	TrH2_TrispH2_002033-RA	Hhon_g00735.t1	Tadh_TriadT29175
OG_210	HoiH23_PlH23_010237-RA	TrH2_TrispH2_002031-RA	Hhon_g00737.t1	Tadh_TriadT50676
OG_211	HoiH23_PlH23_010238-RA	TrH2_TrispH2_002030-RA	Hhon_g00738.t1	Tadh_TriadT29056
OG_212	HoiH23_PlH23_010240-RA	TrH2_TrispH2_002028-RA	Hhon_g00740.t1	Tadh_TriadT59237
OG_213	HoiH23_PlH23_010241-RA	TrH2_TrispH2_002027-RA	Hhon_g00741.t1	Tadh_TriadT59236
OG_214	HoiH23_PlH23_006815-RA	TrH2_TrispH2_002020-RA	Hhon_g00749.t1	Tadh_TriadT38096
OG_215	HoiH23_PlH23_006819-RA	TrH2_TrispH2_002016-RA	Hhon_g00753.t1	Tadh_TriadT59224
OG_216	HoiH23_PlH23_006822-RA	TrH2_TrispH2_002013-RA	Hhon_g00755.t1	Tadh_TriadT59221
OG_217	HoiH23_PlH23_006827-RA	TrH2_TrispH2_002008-RA	Hhon_g00760.t1	Tadh_TriadT59216
OG_218	HoiH23_PlH23_006828-RA	TrH2_TrispH2_002007-RA	Hhon_g00761.t1	Tadh_TriadT59215
OG_219	HoiH23_PlH23_008632-RA	TrH2_TrispH2_001997-RA	Hhon_g00770.t1	Tadh_TriadT59207
