	Tadh	TrH2	Hhon	HoiH23	Hoilungia	Trichoplax	Placozoa
OG_4701	1	1	1	1	1	1	1
OG_471	0	0	0	1	0	0	0
OG_4711	1	1	1	1	1	1	1
OG_4737	1	0	0	0	0	0	0
OG_4740	1	1	2	1	1	1	1
OG_4748	1	1	0	1	1	1	1
OG_4749	1	1	0	1	1	1	1
OG_4782	0	0	0	1	0	0	0
OG_4785	0	0	1	1	1	0	0
OG_4793	0	0	1	1	1	0	0
OG_4796	1	0	1	1	1	1	1
OG_48	0	1	0	0	0	0	0
OG_4801	1	1	0	0	0	1	0
OG_4803	1	0	1	1	1	1	1
OG_4811	0	0	1	1	1	0	0
OG_4812	0	0	0	1	0	0	0
OG_4818	1	0	1	0	1	1	1
OG_4820	0	1	1	1	1	1	1
OG_4835	0	1	1	1	1	1	1
OG_4837	0	0	0	1	0	0	0
OG_484	0	1	0	0	0	0	0
OG_4849	1	0	0	1	1	1	1
OG_485	1	0	1	1	1	1	1
OG_4863	1	0	0	1	1	1	1
OG_4864	0	0	1	0	0	0	0
OG_4868	0	0	0	1	0	0	0
OG_4891	0	1	1	1	1	1	1
OG_4894	1	1	1	1	1	1	1
OG_4897	0	1	0	0	0	0	0
OG_49	1	0	0	0	0	0	0
OG_4902	0	0	1	1	1	0	0
OG_4920	0	0	0	1	0	0	0
OG_4922	1	0	0	0	0	0	0
OG_4925	1	0	0	0	0	0	0
OG_4926	1	1	1	1	1	1	1
OG_4928	0	0	0	1	0	0	0
OG_4934	0	1	1	0	1	1	1
OG_4947	0	0	1	1	1	0	0
OG_4953	1	0	1	1	1	1	1
OG_4954	1	1	1	1	1	1	1
OG_496	1	0	1	1	1	1	1
OG_4962	1	0	1	1	1	1	1
OG_4964	1	0	1	1	1	1	1
OG_4977	1	0	1	1	1	1	1
OG_4980	1	0	0	1	1	1	1
OG_4994	1	1	1	0	1	1	1
OG_5	0	0	0	1	0	0	0
OG_50	0	0	1	0	0	0	0
OG_5000	1	0	1	1	1	1	1
OG_5016	1	1	1	1	1	1	1
OG_5020	0	0	1	1	1	0	0
OG_5026	0	0	0	1	0	0	0
OG_5028	0	0	0	1	0	0	0
OG_5035	0	1	0	1	1	1	1
OG_5036	2	0	0	1	1	1	1
OG_5038	1	1	0	0	0	1	0
OG_5047	1	1	0	1	1	1	1
OG_5056	1	0	0	0	0	0	0
OG_5067	1	1	1	1	1	1	1
OG_5083	1	1	1	1	1	1	1
OG_5090	1	1	0	1	1	1	1
OG_5092	1	0	0	0	0	0	0
OG_5097	0	0	1	0	0	0	0
