orthogroup	presence	gain	loss	n_gains	n_losses	n_presences
OG_2804	Hhon,Nvec,TrH2	CniBilPla	Bilateria,HoiH23,Hvul,Spis,Tadh	1	5	10
OG_2814	Dmel	Dmel		1	0	1
OG_2816	Mmus	Mmus		1	0	1
OG_2829	Dmel	Dmel		1	0	1
OG_2840	Dmel	Dmel		1	0	1
OG_2844	Dmel	Dmel		1	0	2
OG_2847	Mmus	Mmus		1	0	1
OG_2850	Spolac	Spolac		1	0	1
OG_2852	Spolac	Spolac		1	0	1
OG_2853	TrH2	TrH2		1	0	1
OG_2857	Hvul,Spolac,TrH2	Metazoa	Anthozoa,Bilateria,Hoilungia,Mlei,Tadh	1	5	9
OG_2858	Dmel,TrH2	CniBilPla	Cnidaria,Hoilungia,Mmus,Tadh	1	4	7
OG_2866	Dmel	Dmel		1	0	1
OG_2869	Hvul	Hvul		1	0	1
OG_2871	Dmel,Hvul,Mmus	CniBil	Anthozoa	1	1	9
OG_2873	Hvul	Hvul		1	0	1
OG_291	Hvul	Hvul		1	0	1
OG_2918	Dmel	Dmel		1	0	1
OG_2924	Dmel	Dmel		1	0	1
OG_2931	Mmus	Mmus		1	0	1
OG_2934	Hvul	Hvul		1	0	1
OG_2941	Mmus,TrH2	CniBilPla	Cnidaria,Dmel,Hoilungia,Tadh	1	4	7
OG_2943	Mmus	Mmus		1	0	1
OG_295	Mmus	Mmus		1	0	1
OG_2950	Hhon,TrH2	Placozoa	HoiH23,Tadh	1	2	5
OG_2951	Dmel	Dmel		1	0	2
OG_2957	Mmus	Mmus		1	0	1
OG_2961	Dmel	Dmel		1	0	1
OG_2968	Dmel,Hhon,HoiH23,Hvul,Mmus,Tadh,TrH2	CniBilPla	Anthozoa	1	1	22
OG_2969	Dmel	Dmel		1	0	1
OG_2973	Mmus	Mmus		1	0	4
OG_2977	Mmus	Mmus		1	0	1
OG_2979	Mlei	Mlei		1	0	1
OG_2985	Dmel	Dmel		1	0	1
OG_2988	Mmus	Mmus		1	0	1
OG_2989	Mmus	Mmus		1	0	1
OG_2997	Dmel,Hhon,HoiH23,Mmus,Tadh	CniBilPla	Cnidaria,TrH2	1	2	12
OG_2998	Dmel,Mmus	Bilateria		1	0	3
OG_3003	Dmel,HoiH23,Mmus,Spolac	Metazoa	Cnidaria,Hhon,Mlei,Trichoplax	1	4	11
OG_3008	Mmus	Mmus		1	0	1
OG_3011	Mmus	Mmus		1	0	1
OG_3018	Dmel	Dmel		1	0	1
OG_303	Dmel	Dmel		1	0	1
OG_3039	Mmus	Mmus		1	0	1
OG_3045	Hhon,Tadh,TrH2	Placozoa	HoiH23	1	1	6
OG_3059	Dmel,HoiH23,Mmus,Tadh	CniBilPla	Cnidaria,Hhon,TrH2	1	3	11
OG_3060	Tadh	Tadh		1	0	1
OG_3067	Mmus	Mmus		1	0	2
OG_3068	Dmel	Dmel		1	0	1
OG_3072	Hhon,HoiH23,Tadh	Placozoa	TrH2	1	1	6
OG_3079	Dmel	Dmel		1	0	1
OG_3080	Hvul	Hvul		1	0	1
OG_3081	Hhon,HoiH23,TrH2	Placozoa	Tadh	1	1	6
OG_3086	Dmel,Spis	CniBil	Hvul,Mmus,Nvec	1	3	9
OG_3087	Dmel	Dmel		1	0	1
OG_309	Mmus	Mmus		1	0	1
OG_3094	Hhon,HoiH23,TrH2	Placozoa	Tadh	1	1	6
OG_31	Mmus,Spolac	Metazoa	Cnidaria,Dmel,Mlei,Placozoa	1	4	6
OG_3104	Dmel,Mlei,Mmus	Metazoa	Cnidaria,Placozoa,Spolac	1	3	7
OG_3105	Dmel,Mmus	Bilateria		1	0	8
OG_3109	Hvul	Hvul		1	0	1
OG_3112	Hhon	Hhon		1	0	1
OG_3113	Mmus,Spis	CniBil	Dmel,Hvul,Nvec	1	3	6
OG_3116	Dmel,Hvul	CniBil	Anthozoa,Mmus	1	2	5
OG_3117	Dmel	Dmel		1	0	1
OG_3120	Mmus	Mmus		1	0	1
OG_3126	Mmus	Mmus		1	0	1
OG_3133	Mmus	Mmus		1	0	3
OG_3136	Tadh	Tadh		1	0	1
OG_3138	Dmel	Dmel		1	0	1
OG_3144	Dmel	Dmel		1	0	1
OG_3151	Hhon,HoiH23,TrH2	Placozoa	Tadh	1	1	6
OG_3153	Dmel	Dmel		1	0	1
OG_3155	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_3158	Dmel	Dmel		1	0	2
OG_3162	Mmus	Mmus		1	0	1
OG_3163	Hvul	Hvul		1	0	1
OG_3166	Mmus	Mmus		1	0	1
OG_3178	Mmus	Mmus		1	0	1
OG_3180	Hhon,HoiH23,Nvec,Tadh,TrH2	CniBilPla	Bilateria,Hvul,Spis	1	3	16
OG_3181	Hvul,Mmus	CniBil	Anthozoa,Dmel	1	2	5
OG_3183	Mmus	Mmus		1	0	1
OG_3184	Mmus	Mmus		1	0	1
OG_3189	Hhon	Hhon		1	0	1
OG_3212	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_3216	Mmus	Mmus		1	0	1
OG_3218	Dmel,Hvul	CniBil	Anthozoa,Mmus	1	2	5
OG_3225	HoiH23,Tadh,TrH2	Placozoa	Hhon	1	1	6
OG_3231	HoiH23,Hvul	CniBilPla	Anthozoa,Bilateria,Hhon,Trichoplax	1	4	7
OG_3241	Hhon,HoiH23,Hvul	CniBilPla	Anthozoa,Bilateria,Trichoplax	1	3	8
OG_3254	TrH2	TrH2		1	0	1
OG_3260	HoiH23	HoiH23		1	0	1
OG_3272	Dmel	Dmel		1	0	1
OG_3275	Hhon,HoiH23,Hvul,Tadh,TrH2	CniBilPla	Anthozoa,Bilateria	1	2	11
OG_3278	Dmel,Hhon,HoiH23,Hvul,Mmus,Tadh,TrH2	CniBilPla	Anthozoa	1	1	15
OG_3289	Mlei	Mlei		1	0	1
OG_3292	Spolac	Spolac		1	0	1
OG_3298	Dmel,Mmus,Nvec	CniBil	Hvul,Spis	1	2	8
OG_3315	Mmus	Mmus		1	0	2
OG_3323	Hvul,Mmus,Spolac	Metazoa	Anthozoa,Dmel,Mlei,Placozoa	1	4	9
