metacell	cell_type	broad_cell_type	color
343	muscle_cell	Muscle_Cell	#9A067E
344	muscle_cell	Muscle_Cell	#9A067E
345	muscle_cell	Muscle_Cell	#9A067E
346	muscle_cell	Muscle_Cell	#9A067E
347	muscle_cell	Muscle_Cell	#9A067E
348	muscle_cell	Muscle_Cell	#9A067E
349	muscle_cell	Muscle_Cell	#9A067E
350	muscle_cell	Muscle_Cell	#9A067E
351	muscle_cell	Muscle_Cell	#9A067E
352	muscle_cell	Muscle_Cell	#9A067E
353	muscle_cell	Muscle_Cell	#9A067E
354	muscle_cell	Muscle_Cell	#9A067E
355	muscle_cell	Muscle_Cell	#9A067E
356	muscle_cell	Muscle_Cell	#9A067E
357	muscle_cell	Muscle_Cell	#9A067E
358	muscle_cell	Muscle_Cell	#9A067E
359	muscle_cell	Muscle_Cell	#9A067E
360	muscle_cell	Muscle_Cell	#9A067E
361	muscle_cell	Muscle_Cell	#9A067E
362	muscle_cell	Muscle_Cell	#9A067E
363	muscle_cell	Muscle_Cell	#9A067E
364	muscle_cell	Muscle_Cell	#9A067E
365	muscle_cell	Muscle_Cell	#9A067E
366	muscle_cell	Muscle_Cell	#9A067E
367	muscle_cell	Muscle_Cell	#9A067E
368	muscle_cell	Muscle_Cell	#9A067E
369	muscle_cell	Muscle_Cell	#9A067E
370	muscle_cell	Muscle_Cell	#9A067E
371	muscle_cell	Muscle_Cell	#9A067E
372	muscle_cell	Muscle_Cell	#9A067E
373	muscle_cell	Muscle_Cell	#9A067E
374	muscle_cell	Muscle_Cell	#9A067E
375	muscle_cell	Muscle_Cell	#9A067E
376	muscle_cell	Muscle_Cell	#9A067E
377	muscle_cell	Muscle_Cell	#9A067E
378	muscle_cell	Muscle_Cell	#9A067E
379	muscle_cell	Muscle_Cell	#9A067E
380	muscle_cell	Muscle_Cell	#9A067E
381	muscle_cell	Muscle_Cell	#9A067E
382	muscle_cell	Muscle_Cell	#9A067E
383	muscle_cell	Muscle_Cell	#9A067E
384	muscle_cell	Muscle_Cell	#9A067E
385	muscle_cell	Muscle_Cell	#9A067E
386	muscle_cell	Muscle_Cell	#9A067E
387	muscle_cell	Muscle_Cell	#9A067E
388	muscle_cell	Muscle_Cell	#9A067E
389	muscle_cell	Muscle_Cell	#9A067E
390	muscle_cell	Muscle_Cell	#9A067E
391	muscle_cell	Muscle_Cell	#9A067E
392	muscle_cell	Muscle_Cell	#9A067E
393	muscle_cell	Muscle_Cell	#9A067E
394	muscle_cell	Muscle_Cell	#9A067E
395	muscle_cell	Muscle_Cell	#9A067E
396	muscle_cell	Muscle_Cell	#9A067E
397	muscle_cell	Muscle_Cell	#9A067E
398	muscle_cell	Muscle_Cell	#9A067E
399	muscle_cell	Muscle_Cell	#9A067E
400	muscle_cell	Muscle_Cell	#9A067E
401	muscle_cell	Muscle_Cell	#9A067E
402	muscle_cell	Muscle_Cell	#9A067E
403	muscle_cell	Muscle_Cell	#9A067E
404	muscle_cell	Muscle_Cell	#9A067E
405	muscle_cell	Muscle_Cell	#9A067E
406	muscle_cell	Muscle_Cell	#9A067E
407	muscle_cell	Muscle_Cell	#9A067E
408	muscle_cell	Muscle_Cell	#9A067E
409	muscle_cell	Muscle_Cell	#9A067E
410	muscle_cell	Muscle_Cell	#9A067E
411	muscle_cell	Muscle_Cell	#9A067E
412	muscle_cell	Muscle_Cell	#9A067E
413	muscle_cell	Muscle_Cell	#9A067E
414	muscle_cell	Muscle_Cell	#9A067E
415	muscle_cell	Muscle_Cell	#9A067E
416	muscle_cell	Muscle_Cell	#9A067E
417	muscle_cell	Muscle_Cell	#9A067E
418	muscle_cell	Muscle_Cell	#9A067E
419	muscle_cell	Muscle_Cell	#9A067E
420	muscle_cell	Muscle_Cell	#9A067E
421	muscle_cell	Muscle_Cell	#9A067E
422	muscle_cell	Muscle_Cell	#9A067E
423	muscle_cell	Muscle_Cell	#9A067E
424	muscle_cell	Muscle_Cell	#9A067E
425	muscle_cell	Muscle_Cell	#9A067E
426	muscle_cell	Muscle_Cell	#9A067E
427	muscle_cell	Muscle_Cell	#9A067E
428	muscle_cell	Muscle_Cell	#9A067E
429	muscle_cell	Muscle_Cell	#9A067E
430	muscle_cell	Muscle_Cell	#9A067E
431	muscle_cell	Muscle_Cell	#9A067E
432	muscle_cell	Muscle_Cell	#9A067E
433	muscle_cell	Muscle_Cell	#9A067E
434	muscle_cell	Muscle_Cell	#9A067E
435	muscle_cell	Muscle_Cell	#9A067E
436	muscle_cell	Muscle_Cell	#9A067E
437	muscle_cell	Muscle_Cell	#9A067E
438	muscle_cell	Muscle_Cell	#9A067E
439	muscle_cell	Muscle_Cell	#9A067E
440	muscle_cell	Muscle_Cell	#9A067E
441	muscle_cell	Muscle_Cell	#9A067E
442	muscle_cell	Muscle_Cell	#9A067E
443	muscle_cell	Muscle_Cell	#9A067E
444	muscle_cell	Muscle_Cell	#9A067E
445	muscle_cell	Muscle_Cell	#9A067E
446	muscle_cell	Muscle_Cell	#9A067E
447	muscle_cell	Muscle_Cell	#9A067E
448	muscle_cell	Muscle_Cell	#9A067E
449	muscle_cell	Muscle_Cell	#9A067E
450	muscle_cell	Muscle_Cell	#9A067E
451	muscle_cell	Muscle_Cell	#9A067E
452	muscle_cell	Muscle_Cell	#9A067E
453	muscle_cell	Muscle_Cell	#9A067E
454	muscle_cell	Muscle_Cell	#9A067E
455	muscle_cell	Muscle_Cell	#9A067E
456	muscle_cell	Muscle_Cell	#9A067E
457	muscle_cell	Muscle_Cell	#9A067E
458	muscle_cell	Muscle_Cell	#9A067E
459	muscle_cell	Muscle_Cell	#9A067E
460	muscle_cell	Muscle_Cell	#9A067E
461	muscle_cell	Muscle_Cell	#9A067E
462	muscle_cell	Muscle_Cell	#9A067E
463	muscle_cell	Muscle_Cell	#9A067E
464	muscle_cell	Muscle_Cell	#9A067E
465	muscle_cell	Muscle_Cell	#9A067E
466	muscle_cell	Muscle_Cell	#9A067E
467	muscle_cell	Muscle_Cell	#9A067E
468	muscle_cell	Muscle_Cell	#9A067E
469	muscle_cell	Muscle_Cell	#9A067E
470	muscle_cell	Muscle_Cell	#9A067E
471	muscle_cell	Muscle_Cell	#9A067E
472	muscle_cell	Muscle_Cell	#9A067E
473	muscle_cell	Muscle_Cell	#9A067E
474	muscle_cell	Muscle_Cell	#9A067E
475	muscle_cell	Muscle_Cell	#9A067E
476	muscle_cell	Muscle_Cell	#9A067E
477	muscle_cell	Muscle_Cell	#9A067E
478	muscle_cell	Muscle_Cell	#9A067E
479	muscle_cell	Muscle_Cell	#9A067E
480	muscle_cell	Muscle_Cell	#9A067E
481	muscle_cell	Muscle_Cell	#9A067E
482	muscle_cell	Muscle_Cell	#9A067E
483	muscle_cell	Muscle_Cell	#9A067E
484	muscle_cell	Muscle_Cell	#9A067E
485	muscle_cell	Muscle_Cell	#9A067E
486	muscle_cell	Muscle_Cell	#9A067E
487	muscle_cell	Muscle_Cell	#9A067E
488	muscle_cell	Muscle_Cell	#9A067E
489	muscle_cell	Muscle_Cell	#9A067E
490	muscle_cell	Muscle_Cell	#9A067E
491	muscle_cell	Muscle_Cell	#9A067E
492	muscle_cell	Muscle_Cell	#9A067E
493	muscle_cell	Muscle_Cell	#9A067E
494	muscle_cell	Muscle_Cell	#9A067E
495	muscle_cell	Muscle_Cell	#9A067E
496	muscle_cell	Muscle_Cell	#9A067E
497	muscle_cell	Muscle_Cell	#9A067E
498	muscle_cell	Muscle_Cell	#9A067E
499	muscle_cell	Muscle_Cell	#9A067E
500	muscle_cell	Muscle_Cell	#9A067E
501	muscle_cell	Muscle_Cell	#9A067E
502	muscle_cell	Muscle_Cell	#9A067E
503	muscle_cell	Muscle_Cell	#9A067E
504	muscle_cell	Muscle_Cell	#9A067E
505	muscle_cell	Muscle_Cell	#9A067E
506	muscle_cell	Muscle_Cell	#9A067E
507	muscle_cell	Muscle_Cell	#9A067E
508	muscle_cell	Muscle_Cell	#9A067E
509	muscle_cell	Muscle_Cell	#9A067E
510	muscle_cell	Muscle_Cell	#9A067E
511	muscle_cell	Muscle_Cell	#9A067E
512	muscle_cell	Muscle_Cell	#9A067E
513	muscle_cell	Muscle_Cell	#9A067E
514	muscle_cell	Muscle_Cell	#9A067E
515	muscle_cell	Muscle_Cell	#9A067E
516	muscle_cell	Muscle_Cell	#9A067E
517	muscle_cell	Muscle_Cell	#9A067E
518	muscle_cell	Muscle_Cell	#9A067E
519	muscle_cell	Muscle_Cell	#9A067E
520	muscle_cell	Muscle_Cell	#9A067E
521	muscle_cell	Muscle_Cell	#9A067E
522	muscle_cell	Muscle_Cell	#9A067E
523	muscle_cell	Muscle_Cell	#9A067E
524	muscle_cell	Muscle_Cell	#9A067E
525	muscle_cell	Muscle_Cell	#9A067E
526	muscle_cell	Muscle_Cell	#9A067E
527	muscle_cell	Muscle_Cell	#9A067E
528	muscle_cell	Muscle_Cell	#9A067E
529	muscle_cell	Muscle_Cell	#9A067E
530	muscle_cell	Muscle_Cell	#9A067E
531	muscle_cell	Muscle_Cell	#9A067E
532	muscle_cell	Muscle_Cell	#9A067E
533	muscle_cell	Muscle_Cell	#9A067E
534	muscle_cell	Muscle_Cell	#9A067E
535	muscle_cell	Muscle_Cell	#9A067E
536	muscle_cell	Muscle_Cell	#9A067E
537	muscle_cell	Muscle_Cell	#9A067E
538	muscle_cell	Muscle_Cell	#9A067E
539	muscle_cell	Muscle_Cell	#9A067E
540	muscle_cell	Muscle_Cell	#9A067E
541	muscle_cell	Muscle_Cell	#9A067E
542	muscle_cell	Muscle_Cell	#9A067E
543	muscle_cell	Muscle_Cell	#9A067E
544	muscle_cell	Muscle_Cell	#9A067E
545	muscle_cell	Muscle_Cell	#9A067E
546	muscle_cell	Muscle_Cell	#9A067E
547	muscle_cell	Muscle_Cell	#9A067E
548	muscle_cell	Muscle_Cell	#9A067E
549	muscle_cell	Muscle_Cell	#9A067E
550	muscle_cell	Muscle_Cell	#9A067E
551	muscle_cell	Muscle_Cell	#9A067E
552	muscle_cell	Muscle_Cell	#9A067E
