Hhon_cell_type	Hhon_color	Hhon_leiden_clusters	HoiH23_cell_type	HoiH23_color	HoiH23_leiden_clusters	batch	species	cell_type;cell_type_mapping_scores	X_umap1	X_umap2
gland_1	darkorange3	12	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	6.1889796	8.639026
epithelia_gland_like	orange	17	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_gland_like	3.7435386	0.28290027
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-5.391976	8.200455
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	2.6713843	0.68011606
fibre	chartreuse3	11	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_fibre	-11.095083	1.9301364
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.3075085	0.43220744
unknown_1	darkolivegreen2	20	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_unknown_1	-2.9875169	-10.667996
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	3.3402393	0.9781941
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.393319	1.0415579
peptidergic_alpha	dodgerblue1	21	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_alpha	15.01377	19.191017
epithelia_ventral	orchid1	23	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	2.775125	3.5126822
epithelia_unknown	plum3	17	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_unknown	1.8392087	-3.9061732
gland_1	darkorange3	12	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	7.5802097	8.891217
trans_epithelia_dorsal_ventral	gray95	30	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_trans_epithelia_dorsal_ventral	6.841569	-0.5483809
gland_1	darkorange3	1	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	7.834245	9.980309
epithelia_dorsal	mediumorchid3	16	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-6.206469	8.18785
peptidergic_theta_like	royalblue3	51	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_theta_like	22.021978	8.733811
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-5.578545	7.9832196
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	3.9574618	0.3972822
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.6214643	1.4868404
peptidergic_eta	royalblue1	29	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_eta	20.968002	8.430436
fibre	chartreuse3	11	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_fibre	-11.030442	1.6372856
epithelia_ventral	orchid1	6	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	3.9567478	-1.0848497
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.8814607	1.1168239
gland_1	darkorange3	12	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	7.43613	9.571805
gland_1	darkorange3	1	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	6.58758	11.006137
lipophil_1	khaki2	0	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_lipophil_1	12.85938	3.9106202
gland_1	darkorange3	37	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	9.009149	-10.7302885
gland_1	darkorange3	12	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	6.698425	8.880232
epithelia_ventral	orchid1	8	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.587406	0.18198897
peptidergic_beta	dodgerblue3	43	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_beta	-2.7015316	-3.9329906
peptidergic_iota	deepskyblue1	19	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_iota	20.17849	13.133248
