TrH2_cell_type	TrH2_color	TrH2_leiden_clusters	HoiH23_cell_type	HoiH23_color	HoiH23_leiden_clusters	batch	species	cell_type;cell_type_mapping_scores	X_umap1	X_umap2
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.968516	0.015919372
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.745806	0.16011825
trans_lipophil_1_fibre	gray90	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_lipophil_1_fibre	-10.319172	1.4394318
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.8335943	4.7711415
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.445312	1.0691636
epithelia_dorsal_like	mediumorchid4	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	7.726683	-0.9022792
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-6.7730117	6.163362
gland_1	darkorange3	7	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_gland_1	5.7366796	13.940733
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.885562	-0.04983153
epithelia_dorsal_like	mediumorchid4	38	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	10.796485	-1.9712462
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	6.897428	-0.52196795
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.710593	4.8168855
trans_epithelia_dorsal_ventral	gray95	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_epithelia_dorsal_ventral	9.098626	-0.6374297
epithelia_dorsal_like	mediumorchid4	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	6.6906185	-1.2986339
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_gland_1	3.8424962	12.600741
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.410889	0.15492603
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.483788	0.25302365
trans_epithelia_dorsal_ventral	gray95	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_epithelia_dorsal_ventral	7.6692266	-0.8909145
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.56471	0.97409475
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-11.257231	0.7105917
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	9.026594	-1.5188007
fibre	chartreuse3	24	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-11.853682	-0.45483917
peptidergic_beta	dodgerblue3	31	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_beta	4.3293447	20.046537
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	8.5208	-1.1820725
