	Tadh	TrH2	Hhon	HoiH23	Hoilungia	Trichoplax	Placozoa
OG_10459	1	1	0	0	0	1	0
OG_1046	1	1	1	1	1	1	1
OG_10460	1	1	0	0	0	1	0
OG_10461	1	1	0	1	1	1	1
OG_10462	1	1	0	0	0	1	0
OG_10463	1	1	1	0	1	1	1
OG_10464	5	6	2	0	1	1	1
OG_10465	1	2	0	0	0	1	0
OG_10466	1	1	0	0	0	1	0
OG_10467	4	4	1	1	1	1	1
OG_10468	1	1	1	0	1	1	1
OG_10469	1	1	0	0	0	1	0
OG_1047	1	1	1	1	1	1	1
OG_10470	1	1	0	1	1	1	1
OG_10471	1	1	0	0	0	1	0
OG_10472	1	1	0	0	0	1	0
OG_10473	1	1	0	0	0	1	0
OG_10474	1	1	0	0	0	1	0
OG_10475	1	1	0	0	0	1	0
OG_10476	0	1	1	0	1	1	1
OG_10477	1	1	0	0	0	1	0
OG_10478	1	1	1	0	1	1	1
OG_10479	1	1	0	0	0	1	0
OG_1048	1	1	1	1	1	1	1
OG_10480	1	1	0	0	0	1	0
OG_10481	1	1	1	2	1	1	1
OG_10482	1	1	0	0	0	1	0
OG_10483	1	1	0	0	0	1	0
OG_10484	1	1	0	0	0	1	0
OG_10485	1	1	1	0	1	1	1
OG_10486	1	1	0	0	0	1	0
OG_10487	1	1	0	0	0	1	0
OG_10488	1	1	0	0	0	1	0
OG_10489	1	1	1	0	1	1	1
OG_1049	1	1	1	1	1	1	1
OG_10490	1	1	0	0	0	1	0
OG_10491	1	1	0	0	0	1	0
OG_10492	0	1	1	0	1	1	1
OG_10493	1	1	1	0	1	1	1
OG_10494	1	1	1	1	1	1	1
OG_10495	1	1	0	0	0	1	0
OG_10496	1	1	0	0	0	1	0
OG_10497	1	1	1	0	1	1	1
OG_10498	1	1	1	0	1	1	1
OG_10499	1	1	1	1	1	1	1
OG_105	1	1	1	1	1	1	1
OG_1050	1	1	1	1	1	1	1
OG_10500	1	1	0	0	0	1	0
OG_10501	1	1	0	0	0	1	0
OG_10502	0	1	1	1	1	1	1
OG_10503	1	1	0	0	0	1	0
OG_10504	1	1	0	0	0	1	0
OG_10505	1	1	0	0	0	1	0
OG_10506	2	1	0	0	0	1	0
OG_10507	1	1	0	0	0	1	0
OG_10508	1	1	0	0	0	1	0
OG_10509	1	1	0	0	0	1	0
OG_1051	1	1	1	1	1	1	1
OG_10510	1	1	0	0	0	1	0
OG_10511	1	1	0	0	0	1	0
OG_10512	1	1	0	0	0	1	0
OG_10513	1	1	0	0	0	1	0
OG_10514	1	1	1	0	1	1	1
OG_10515	1	1	1	0	1	1	1
OG_10516	1	1	0	0	0	1	0
OG_10517	1	1	0	0	0	1	0
OG_10518	1	1	0	0	0	1	0
OG_10519	1	1	0	0	0	1	0
OG_1052	1	1	1	1	1	1	1
OG_10520	1	1	1	1	1	1	1
OG_10521	1	1	1	0	1	1	1
OG_10522	1	1	1	1	1	1	1
OG_10523	1	1	0	0	0	1	0
OG_10524	2	1	1	1	1	1	1
OG_10525	1	1	1	0	1	1	1
OG_10526	1	1	0	0	0	1	0
OG_10527	1	1	0	0	0	1	0
OG_10528	1	1	0	0	0	1	0
OG_10529	1	1	0	0	0	1	0
OG_1053	1	1	1	1	1	1	1
OG_10530	1	1	1	1	1	1	1
OG_10531	1	1	1	1	1	1	1
OG_10532	1	1	0	0	0	1	0
OG_10533	1	1	0	0	0	1	0
OG_10534	1	1	0	0	0	1	0
OG_10535	1	1	0	0	0	1	0
OG_10536	1	1	1	0	1	1	1
OG_10537	1	1	0	0	0	1	0
OG_10538	1	1	0	0	0	1	0
OG_10539	1	1	2	0	1	1	1
OG_1054	1	1	1	1	1	1	1
OG_10540	1	1	1	1	1	1	1
OG_10541	1	1	0	0	0	1	0
OG_10542	1	1	2	1	1	1	1
OG_10543	1	1	0	0	0	1	0
OG_10544	1	1	1	1	1	1	1
OG_10545	1	1	0	0	0	1	0
OG_10546	0	1	0	1	1	1	1
OG_10547	1	1	0	0	0	1	0
OG_10548	1	1	0	0	0	1	0
OG_10549	1	1	1	0	1	1	1
OG_1055	1	1	1	1	1	1	1
OG_10550	1	2	1	0	1	1	1
OG_10551	1	1	0	0	0	1	0
OG_10552	1	1	0	0	0	1	0
OG_10553	1	1	1	0	1	1	1
OG_10554	1	1	0	0	0	1	0
OG_10555	1	1	0	0	0	1	0
OG_10556	1	1	0	0	0	1	0
OG_10557	1	0	1	1	1	1	1
OG_10558	1	1	1	1	1	1	1
OG_10559	1	1	1	1	1	1	1
OG_1056	1	1	1	1	1	1	1
OG_10560	1	1	1	1	1	1	1
OG_10561	1	1	1	0	1	1	1
OG_10562	1	1	0	0	0	1	0
OG_10563	1	1	0	0	0	1	0
OG_10564	1	1	1	0	1	1	1
OG_10565	3	2	4	0	1	1	1
OG_10566	1	1	0	0	0	1	0
OG_10567	1	1	0	0	0	1	0
OG_10568	1	1	1	0	1	1	1
OG_10569	1	1	1	1	1	1	1
OG_1057	1	1	1	1	1	1	1
OG_10570	1	1	1	1	1	1	1
OG_10571	1	1	1	1	1	1	1
OG_10572	1	1	0	0	0	1	0
OG_10573	1	1	1	1	1	1	1
OG_10574	1	1	0	0	0	1	0
OG_10575	1	1	0	0	0	1	0
OG_10576	1	1	0	0	0	1	0
OG_10577	1	1	0	0	0	1	0
OG_10578	1	1	0	0	0	1	0
OG_10579	1	1	0	0	0	1	0
OG_1058	1	1	1	1	1	1	1
OG_10580	2	1	1	1	1	1	1
OG_10581	1	1	0	0	0	1	0
OG_10582	1	1	1	0	1	1	1
OG_10583	1	1	0	0	0	1	0
OG_10584	1	1	0	0	0	1	0
OG_10585	1	1	0	0	0	1	0
OG_10586	1	1	0	0	0	1	0
OG_10587	1	1	0	0	0	1	0
OG_10588	1	1	0	0	0	1	0
OG_10589	1	1	0	0	0	1	0
OG_1059	1	1	1	1	1	1	1
OG_10590	1	1	0	0	0	1	0
OG_10591	1	1	0	0	0	1	0
OG_10592	1	1	0	0	0	1	0
OG_10593	1	1	0	0	0	1	0
OG_10594	1	1	1	1	1	1	1
OG_10595	1	1	1	1	1	1	1
OG_10596	1	1	0	0	0	1	0
OG_10597	1	1	0	0	0	1	0
OG_10598	1	1	1	1	1	1	1
OG_10599	1	1	0	0	0	1	0
OG_106	1	1	1	1	1	1	1
OG_1060	1	1	1	1	1	1	1
OG_10600	0	2	1	0	1	1	1
OG_10601	2	2	0	0	0	1	0
OG_10602	1	1	0	0	0	1	0
OG_10603	1	1	0	0	0	1	0
OG_10604	1	1	1	0	1	1	1
OG_10605	1	1	0	0	0	1	0
OG_10606	1	1	0	0	0	1	0
OG_10607	1	1	0	0	0	1	0
OG_10608	1	1	0	0	0	1	0
OG_10609	1	1	0	0	0	1	0
OG_1061	1	1	1	1	1	1	1
OG_10610	1	1	1	1	1	1	1
OG_10611	1	1	0	0	0	1	0
OG_10612	1	1	1	0	1	1	1
OG_10613	1	1	0	0	0	1	0
OG_10614	1	1	0	0	0	1	0
OG_10615	0	1	1	1	1	1	1
